City,Latitude,Longitude,Temperature,Rainfall,Population Growth Factor,Holiday,Day of Week,Unemployment Rate (%),Median Income ($),Food Price Index,Inflation Rate (%),Stock Availability (%),Transportation Efficiency (%),Delivery Delays (%),Storage Capacity (%),Humidity (%),Air Quality Index,Heatwave,Cold Wave,Major Event,Tourist Influx (%),Food Demand,Fuel Prices,Holiday Indicator,Year,Month,Day,Lag_7,Lag_14,Lag_30,Rolling_Mean_7,Rolling_Mean_14,EMA_7,EMA_14,Fourier_7,Fourier_14
4,40.7128,-74.006,29.7,10.8,1.034,0,1,6.579396792026564,55075.81473435999,113.94885536900324,4.249819653888826,85.09834386288517,93.87378008308303,17.800106836351326,66.89975784257679,66.21381637024119,91.99008454189143,0,0,0,3.6894845834788415,3105.5,11.394885536900324,0,2023,1,31,3317.1,3519.7,5658.7,3512.157142857143,3696.557142857143,3512.41750877518,3656.3216739253216,3453.965181692528,3466.5492097821325
4,40.7128,-74.006,30.9,14.0,1.034,0,2,7.047960986973218,31797.113689837104,103.9679405439738,3.713223173537883,64.32706260641422,87.72499781707032,0.6100049987809886,51.86740943746072,28.12508483548413,56.90039630326291,0,0,0,4.277302920055036,3672.3,10.39679405439738,1,2023,2,1,3354.9,3190.8,3848.8,3557.5,3730.9500000000003,3552.388131581385,3658.4521174019455,3453.9618150949264,3466.5201061882253
4,40.7128,-74.006,19.0,4.2,1.034,1,3,8.758203924617607,48009.532070563146,93.81181537955656,3.611216300274022,88.49967765493054,76.47463082490529,12.457809516380005,54.2673732496884,32.124130893701064,115.07774738569596,0,0,0,3.0792504902610824,3664.1,9.381181537955657,1,2023,2,2,3436.7,3542.0,3557.2,3589.9857142857145,3739.671428571429,3580.316098686039,3659.2051684150197,3453.9584333958574,3466.4908714612716
4,40.7128,-74.006,28.4,7.0,1.034,0,4,6.784445851270746,61871.49507491033,111.78274001167983,5.879260397312673,75.81501741505977,79.68869418823738,15.903723895374071,63.54161256310371,31.40540989570008,60.58531211006448,0,0,0,0.132556552708109,3296.9,11.178274001167985,1,2023,2,3,3692.3,3286.5,3000.0,3533.5,3740.414285714286,3509.462074014529,3610.8978126263505,3453.9550370454226,3466.4615107255454
4,40.7128,-74.006,18.7,9.4,1.034,0,5,6.072799944939453,33922.8190671133,90.76052230246373,5.813242073389626,91.79900602561028,90.87922618281094,8.179058888285397,58.66471600354229,52.07770233440616,131.84251839739022,0,0,0,1.9305131890038711,3596.4,9.076052230246374,1,2023,2,4,3977.3,3786.8,3565.1,3479.085714285714,3726.8142857142852,3531.196555510897,3608.9647709428373,3453.9516264944014,3466.4320290666924
4,40.7128,-74.006,23.2,5.1,1.034,0,6,6.844586652942843,65729.79613500313,109.80592130153194,2.3996694847297144,97.7432640331597,92.13690750087304,11.087081050228011,80.5860373117176,39.729834234138,67.72472414324844,0,0,0,3.14471423389942,3895.7,10.980592130153196,0,2023,2,5,4018.4,3629.0,3362.3,3461.557142857143,3745.8642857142854,3622.3224166331725,3647.1961348171258,3453.948202194236,3466.4024315310066
4,40.7128,-74.006,28.1,0.8,1.034,0,0,5.937200436994529,42386.54947505787,100.67918035953784,4.789230552321845,50.7196744314878,73.48217921520748,0.920052840435055,52.03644011594851,72.54303261486008,171.0252108900896,0,0,0,2.0630883845571324,3000.0,10.067918035953785,1,2023,2,6,3000.0,6414.5,3468.4,3461.557142857143,3501.9714285714285,3466.741812474879,3560.903316841509,3453.944764597014,3466.372723124703
4,40.7128,-74.006,36.7,5.4,1.034,0,1,6.319216803611276,34891.70803255007,104.74847625350498,3.3673588539028283,58.66009349550076,83.01554947713919,7.970094687947469,80.79250490261083,72.81800118592776,65.4685803253899,1,0,0,2.5262618622392856,3000.0,10.4748476253505,0,2023,2,7,3105.5,3317.1,3661.7,3446.4857142857145,3479.3214285714284,3350.056359356159,3486.116207929308,3453.9413141554664,3466.342908813203
4,40.7128,-74.006,25.3,10.9,1.034,0,2,7.445655556073507,32265.200488602222,101.23837843879414,4.129299578571182,75.15681292900439,95.69469523564968,13.1738726323789,58.14672135407149,83.37673834934846,63.69300151792004,0,0,0,4.750309835254025,3153.8,10.123837843879414,0,2023,2,8,3672.3,3354.9,3000.0,3372.414285714286,3464.9571428571426,3300.9922695171194,3441.8073802054005,3453.937851322945,3466.312993520427
4,40.7128,-74.006,19.7,10.1,1.034,0,3,3.1855791737913526,59288.779063673166,118.20690724274873,3.877370889379395,69.4084963103261,89.2986465532706,9.165057809830332,77.28083946579675,72.66621706063759,168.73685655887726,0,0,0,0.4560305152434518,3129.6,11.820690724274874,0,2023,2,9,3664.1,3436.7,3000.0,3296.0571428571425,3443.0214285714287,3258.14420213784,3400.179729511347,3453.9343765534145,3466.282982128089
